"doc_id","from","text"
"1","QUI-GON","captain"
"2","CAPTAIN","sir"
"3","QUI-GON","board"
"4","CAPTAIN","sir"
"5","CAPTAIN","due respect ambassadors supreme chancellor board immediately"
"6","NUTE","blockade perfectly legal happy receive ambassador happy"
"7","TC-14","tc-14 service"
"8","TC-14","greatly honored visit ambassadors make comfortable master shortly"
"9","OBI-WAN","bad feeling"
"10","QUI-GON","sense"
"11","OBI-WAN","mission master elusive"
"12","QUI-GON","center anxiety obi-wan concentration belongs"
"13","OBI-WAN","master yoda mindful future"
"14","QUI-GON","expense moment mindful living force young padawan"
"15","OBI-WAN","master trade viceroy deal chancellor's demands"
"16","QUI-GON","federation types cowards negotiations short"
"17","NUTE",""
"18","TC-14","ambassadors jedi knights"
"19","DOFINE","knew force settlement eh"
"20","NUTE","distract contact lord sidious"
"21","DOFINE","brain-dead jedi send droid"
"22","OBI-WAN","nature make wait long"
"23","QUI-GON","sense unusual amount fear trivial trade dispute"
"24","DARTH SIDIOUS",""
"25","DOFINE","scheme failed lord sidious blockade finished dare jedi"
"26","DARTH SIDIOUS","viceroy stunted slime sight turn events unfortunate accelerate plans begin landing troops"
"27","NUTE","lord legal"
"28","DARTH SIDIOUS","make legal"
"29","NUTE","jedi"
"30","DARTH SIDIOUS","chancellor brought kill immediately"
"31","NUTE","lord"
"32","PILOT","captain"
"33","CAPTAIN","shields"
"34","TC-14",""
"35","QUI-GON","dioxis"
"36","NUTE","dead blast left"
"37","TC-14","excuse"
"38","OWO-1","check corporal cover"
"39","CORPORAL","roger roger"
"40","OWO-1","blast"
"41","NUTE","blazes"
"42","TEY HOW","lost transmission sir"
"43","RUNE","encountered jedi knight sir"
"44","NUTE","seal bridge"
"45","RUNE","sir"
"46","NUTE","destroyer droids"
"47","RUNE","survive"
"48","NUTE","close blast doors"
"49","NUTE","hold"
"50","RUNE","coming"
"51","NUTE","impossible impossible"
"52","RUNE","destroyer droids"
"53","OBI-WAN","master destroyers"
"54","OBI-WAN","shield generators"
"55","QUI-GON","standoff"
"56","RUNE","match destroyer droids"
"57","TEY HOW","sir ventilation shaft"
"58","QUI-GON","battle droids"
"59","OBI-WAN","invasion army"
"60","QUI-GON","odd play trade federation warn naboo contact chancellor valorum split stow aboard separate ships meet planet"
"61","OBI-WAN","thing master negotiations short"
"62","TEY HOW","sir transmission planet"
"63","RUNE","queen amidala"
"64","NUTE","results"
"65","NUTE","highness"
"66","AMIDALA","pleased hear viceroy trade boycott planet ended"
"67","NUTE","aware failure"
"68","AMIDALA","word chancellor's ambassadors commanded reach settlement"
"69","NUTE","ambassadors mistaken"
"70","AMIDALA","beware viceroy federation time"
"71","NUTE","approval senate assume"
"72","AMIDALA",""
"73","RUNE","senate"
"74","NUTE","late"
"75","RUNE","suspects attack"
"76","NUTE","move quickly disrupt communications"
"77","PALPATINE","negotiations started ambassadors true assurances chancellor ambassadors arrive handiwork negotiate ambassadors"
"78","AMIDALA","senator palpatine happening"
"79","CAPT. PANAKA","check transmission generators"
"80","BIBBLE","malfunction"
"81","CAPT. PANAKA","federation jamming highness"
"82","BIBBLE","communications disruption thing invasion"
"83","AMIDALA","federation dare"
"84","CAPT. PANAKA","senate revoke trade franchise finished"
"85","AMIDALA","continue rely negotiation"
"86","BIBBLE","negotiation lost communications chancellors ambassadors"
"87","CAPT. PANAKA","dangerous situation highness security volunteers match battle-hardened federation army"
"88","AMIDALA","condone action lead war"
"89","OOM-9","viceroy"
"90","RUNE","captain searched ship trace jedi landing craft"
"91","OOM-9","sir find"
"92","NUTE","caution jedi underestimated"
"93","JAR JAR","caution jedi underestimated"
"94","QUI-GON",""
"95","JAR JAR","was'n dat hey wait mooie-mooie love"
"96","QUI-GON","brainless killed"
"97","JAR JAR","spake"
"98","QUI-GON","ability speak make intelligent outta"
"99","JAR JAR","mesa stay mesa yous humble servant"
"100","QUI-GON","wont"
"101","JAR JAR","boot tis tis demunded byda guds tis live debett tis mesa culled jaja binkss"
"102","QUI-GON","stay"
"103","OBI-WAN",""
"104","QUI-GON","local droids show"
"105","JAR JAR","spake ex-squeeze-me de mostest safest place gunga city"
"106","QUI-GON","city"
