base,styled,image
ANAKIN,Anakin Skywalker,ANAKIN
OBI-WAN,Obi-Wan Kenobi,OBI-WAN
PADME,Padmé Amidala,PADME
PALPATINE,Sheev Palpatine,PALPATINE
YODA,Yoda,YODA
BAIL ORGANA,Bail Organa,BAIL-ORGANA
MACE WINDU,Mace Windu,MACE-WINDU
GENERAL GRIEVOUS,General Grievous,GRIEVOUS
C-3PO,C-3PO,THREEPIO
DARTH SIDIOUS,Darth Sidious,DARTH-SIDIOUS
CLONE COMMANDER CODY,Clone Commander Cody,CLONE-CODY
KI-ADI-MUNDI,Ki-Adi-Mundi,KI-ADI
DARTH VADER,Darth Vader,DARTH-VADER
MEDICAL DROID,Medical Droid,MEDICAL-DROID
MON MOTHMA,Mon Mothma,
PILOT,Malevolence Pilot,
TION MEDON,Tion Medon,TION-MEDON
COUNT DOOKU,Count Dooku,COUNT-DOOKU
CLONE COMMANDER GREE,Clone Commander Gree,CLONE-GREE
CLONE SERGEANT,Clone Sergeant,CLONE-SERGEANT
MAS AMEDDA,Mas Amedda,MAS-AMEDDA
NUTE GUNRAY,Nute Gunray,NUTE
ODD BALL,Odd Ball,ODD-BALL
SUPER BATTLE DROID 1,Super Battle Droid 1,
CAPTAIN TYPHO,Captain Typho,CAPTAIN-TYPHO
CLONE CAPTAIN,Clone Captain,CLONE-CAPTAIN
CLONE TROOPER,Clone Trooper,CLONE
FANG ZAR,Fang Zar,
GIDDEAN DANU,Giddean Danu,
GUARD,Guard,
WRANGLER,Varactyl Wrangler,
AAYLA,Aayla Secura,
ARTOO,R2-D2,ARTOO
BANA BREEMU,Bana Breemu,
BODYGUARD,Bodyguard,
CAPTAIN ANTILLES,Captain Antilles,CAPTAIN-ANTILLES
CLONE COMMANDER BACARA,Clone Commander Bacara,CLONE-BACARA
CLONE COMMANDER THIRE,Clone Commander Thire,CLONE-THIRE
COLTON,Jeremoch Colton,
JAR JAR,Jar Jar,
SUPER BATTLE DROID G21,Super Battle Droid G21,
BATTLE DROID,Battle Droid,
BODYGUARD I,Bodyguard I,
CAPTAIN,Malevolence Captain,
CHI EEKWAY,Chi Eekway,
CLONE COMMANDER APPO,Clone Commander Appo,CLONE-APPO
CLONE PILOT,Clone Pilot,CLONE-PILOT
CLONE PILOT 2,Clone Pilot 2,CLONE-PILOT
DROID 1,Droid 1,
DROID 2,Droid 2,
MOTEE,Moteé,
PLO KOON,Plo Koon,
ROYAL GUARD,Royal Guard,
SUPER BATTLE DROID,Super Battle Droid,
SUPER BATTLE DROID 2,Super Battle Droid 2,
SUPER BATTLE DROID R77,Super Battle Droid R77,
TERR TANEEL,Terr Taneel,
YOUNGLINGS,Younglings,
