"doc_id","from","text"
"1","CAPTAIN TYPHO","made guess wrong danger"
"2","PADME","cordé"
"3","CORDÉ"," m'lady"
"4","PADME",""
"5","PADME","back"
"6","CAPTAIN TYPHO","m'lady danger"
"7","CAPTAIN TYPHO","vote important duty cordé m'lady"
"8","MAS AMEDDA","order order motion republic commission army takes precedent vote time"
"9","PALPATINE","esteemed colleagues excuse received tragic disturbing news senator amidala naboo system assassinated"
"10","PALPATINE","grievous blow personal chancellor served amidala queen great leader fought justice honourable assembly home planet loved elected queen life believed public service fervently believed democracy death great loss mourn relentless champion freedom dear friend"
"11","SENATOR ASK AAK","senators die civil strife ends confront rebels army"
"12","AMBASSADOR DARSANA","jedi stop assassination longer safe protection"
"13","ORN FREE TAA","republic security war"
"14","PALPATINE","remind senator malastare negotiations continuing separatists peace objective war"
"15","PADME","noble colleagues concur supreme chancellor costs war"
"16","PALPATINE","great surprise joy chair recognises senator naboo padme amidala"
"17","PADME","hour ago assassination attempt made life bodyguards ruthlessly senselessly murdered target importantly security measure target led opposition build army body stop assure passage"
"18","PADME","warn vote create army war follow experienced misery war first-hand"
"19","PADME","wake senators wake offer separatists violence show violence return lose lives lose freedom decision destroy foundation great republic pray fear push disastrous decision vote security measure declaration war"
"20","ORN FREE TAA","motion defer vote dealt rule law"
"21","PALPATINE","due lateness hour seriousness motion matters tomorrow senate stands adjourned"
"22","PALPATINE","longer hold vote friends star systems joining separatists"
"23","MACE WINDU","break"
"24","PALPATINE","happen"
"25","MACE WINDU","realise jedi protect republic keepers peace soldiers"
"26","PALPATINE","master yoda war"
"27","YODA","worse war fear worse"
"28","PALPATINE",""
"29","MACE WINDU","sense master"
"30","YODA","impossible dark side clouds duty jedi"
"31","DAR WAC","loyalist committee arrived lord"
"32","PALPATINE","send"
"33","YODA","force strong young senator alive brings warm feeling heart"
"34","PADME","master yoda idea attack"
"35","MACE WINDU","intelligence points disgruntled spice miners moons naboo"
"36","PADME","disagree count dooku"
"37","MACE WINDU","m'lady count dooku jedi assassinate character"
"38","KI-ADI-MUNDI","political idealist murderer"
"39","YODA","dark times appears fact remains senator grave danger"
"40","PALPATINE","count dooku avoided kind conflict appears desire start war kill end"
"41","PADME","tells"
"42","PALPATINE","master jedi suggest senator protection graces"
"43","BAIL ORGANA","wise manpower stressful times"
"44","PADME","chancellor comment"
"45","PALPATINE","situation senator"
"46","PADME","chancellor guards"
"47","PALPATINE","realise additional security disruptive familiar friend master kenobi"
"48","MACE WINDU","returned border dispute ansion"
"49","PALPATINE","remember m'lady watched blockade conflict"
"50","PADME","chancellor"
"51","PALPATINE","m'lady rest easier big scare today thought losing unbearable"
"52","MACE WINDU","obi-wan report immediately m'lady"
"53","YODA","worry senator politics mindful danger padme accept"
"54","PALPATINE","republic stood thousand years split"
"55","JAR JAR","obi obi obi mesa sooo smilen see'en yousa wahoooooo"
"56","OBI-WAN","good jar jar"
"57","JAR JAR","oops wheresa mesa manners excuse master obi-wan completely forgot moment learn diplodiaclect speak native point members senate prefer"
"58","JAR JAR","apprentice nooooooooo annie noooooooo bitty annie nooooooo yousa biggen yiyiyiyyi annie mesa believen"
"59","ANAKIN","jar jar"
"60","JAR JAR","annie annie yiyiyiyiyiyiiii"
"61","JAR JAR","lookie lookie oops dear afraid forgotten"
"62","OBI-WAN","great pleasure m'lady"
"63","PADME","long master kenobi glad paths crossed warn presence unnecessary"
"64","OBI-WAN","jedi council reasons"
"65","PADME","annie goodness grown"
"66","ANAKIN","grown beautiful shorter senator"
"67","PADME","annie boy knew tatooine"
"68","OBI-WAN","presence invisible m'lady"
"69","CAPTAIN TYPHO","grateful master kenobi situation dangerous senator admit"
"70","PADME","security answers kill"
"71","OBI-WAN","protect senator start investigation"
"72","ANAKIN","find kill padme promise"
"73","OBI-WAN","exceed mandate young padawan learner"
"74","ANAKIN","meant interest protecting master"
"75","OBI-WAN","exercise anakin pay attention lead"
"76","ANAKIN",""
"77","OBI-WAN",""
"78","ANAKIN","assigned find killer protection job local security jedi overkill master investigation implied mandate"
"79","OBI-WAN","council instructed learn place young"
"80","PADME","presence mysteries surrounding threat revealed excuse retire"
"81","CAPTAIN TYPHO","feel lot officer floor command centre downstairs"
"82","JAR JAR","mesa busten wit happiness seein yousa annie deesa bad times bombad times"
"83","ANAKIN","recognize jar jar thought day parted forgotten completely"
"84","JAR JAR","shesa happy happier den mesa see-en longo time"
"85","OBI-WAN","anakin focusing negative mindful thoughts glad lets check security"
"86","ANAKIN","master"
"87","MACE WINDU","attack senator"
"88","YODA","masking future disturbance force"
"89","MACE WINDU","prophecy coming true dark side growing"
"90","YODA","turned dark side sense possibilities future dark side"
"91","MACE WINDU","ten years sith shown"
"92","YODA","certainty"
"93","MACE WINDU","obi-wan's apprentice bring balance force"
"94","YODA","chooses follow destiny"
"95","OBI-WAN","captain typho men downstairs assassin activity"
"96","ANAKIN","quiet tomb waiting happen"
"97","OBI-WAN",""
"98","ANAKIN","covered camera watching"
"99","OBI-WAN","thinking"
"100","ANAKIN","programmed artoo warn intruder"
"101","OBI-WAN","intruder worried ways kill senator"
"102","ANAKIN","catch assassin master"
"103","OBI-WAN","bait"
"104","ANAKIN","idea harm sense room trust"
"105","OBI-WAN","risky senses attuned young apprentice"
"106","ANAKIN",""
"107","OBI-WAN","possibly"
"108","OBI-WAN","tired"
"109","ANAKIN","sleep anymore"
"110","OBI-WAN","mother"
"111","ANAKIN","dreaming"
"112","OBI-WAN","dreams pass time"
"113","ANAKIN","dream padme intoxicating"
"114","OBI-WAN","mind thoughts anakin betray made commitment jedi order commitment easily broken forget politician trusted"
"115","ANAKIN","senate master"
"116","OBI-WAN","experience senators focused pleasing fund campaigns forget niceties democracy funds"
"117","ANAKIN","lecture master economics politics early morning generalising chancellor corrupt"
"118","OBI-WAN","palpatine's politician observed clever passions prejudices senators"
"119","ANAKIN","good man instincts positive"
"120","OBI-WAN","sense"
"121","ANAKIN","stay"
"122","OBI-WAN","bad feeling"
"123","ANAKIN","wacky lost traffic"
"124","OBI-WAN","long"
"125","ANAKIN","master find speeder open cockpit speed capabilities gonzo color"
"126","OBI-WAN","spend time working saber skills wit young padawan rival master yoda swordsman"
"127","ANAKIN","thought"
"128","OBI-WAN","mind young apprentice careful hey easy"
"129","ANAKIN","forgot flying master"
"130","OBI-WAN","mind flying suicide"
"131","ANAKIN","master flying walk good"
"132","OBI-WAN","slow"
"133","OBI-WAN","wait"
"134","OBI-WAN",""
"135","ANAKIN","master worry guy's gonna kill minute"
"136","OBI-WAN","gonna blast"
"137","ANAKIN","working"
"138","OBI-WAN","close"
"139","ANAKIN","clear"
"140","OBI-WAN",""
"141","ANAKIN","clear flag losing power hurry"
"142","OBI-WAN","whooooaaa"
"143","ANAKIN","master"
"144","OBI-WAN","dangerous power couplings slow"
"145","OBI-WAN","yiiii"
"146","ANAKIN","master"
"147","OBI-WAN","good"
"148","ANAKIN","crazy"
"149","ANAKIN","ahh damn"
"150","OBI-WAN","stop"
"151","ANAKIN","make"
"152","OBI-WAN","crazy crazy crazy"
"153","ANAKIN","worked made"
"154","OBI-WAN","work stalled killed"
"155","ANAKIN","alive"
"156","OBI-WAN","stupid"
"157","ANAKIN","made"
"158","OBI-WAN","lost"
"159","ANAKIN","didn’t"
"160","OBI-WAN",""
"161","ANAKIN","shortcut"
"162","OBI-WAN","kind shortcut completely you’ve lost"
"163","ANAKIN","master chase creep’s gonna end deep fried personally i’d find hell he’s working"
"164","OBI-WAN","that’s we’re wrong direction"
"165","OBI-WAN","lost"
"166","ANAKIN","i’m deeply master"
"167","ANAKIN","excuse moment"
"168","OBI-WAN","anakin"
"169","ANAKIN","club master"
"170","OBI-WAN","patience"
"171","OBI-WAN","time lose"
"172","ANAKIN","master"
"173","OBI-WAN","jedi's saber precious possession"
"174","ANAKIN","master"
"175","OBI-WAN","times"
"176","ANAKIN","master"
"177","OBI-WAN","weapon life"
"178","ANAKIN","heard lesson"
"179","OBI-WAN","learned anakin"
"180","ANAKIN","master"
"181","OBI-WAN","death"
"182","ANAKIN","master closest thing father love pain"
"183","OBI-WAN","listen"
"184","ANAKIN","promise"
"185","OBI-WAN",""
"186","ANAKIN",""
"187","OBI-WAN","extra careful check"
"188","ANAKIN","master"
"189","OBI-WAN","drink"
"190","ELAN SLEAZEBAGGANO","wanna buy death sticks"
"191","OBI-WAN","sell death sticks"
"192","ELAN SLEAZEBAGGANO","sell death sticks"
"193","OBI-WAN","home rethink life"
"194","ELAN SLEAZEBAGGANO","home rethink life"
"195","ANAKIN","easy official business back drinks"
"196","OBI-WAN","kill"
"197","ZAM WESELL","senator naboo"
"198","OBI-WAN","hired"
"199","ZAM WESELL","job"
"200","ANAKIN",""
"201","ZAM WESELL","senator's gonna die make mistake"
