base,styled,image
ANAKIN,Anakin Skywalker,ANAKIN
PADME,Padmé Amidala,PADME
OBI-WAN,Obi-Wan Kenobi,OBI-WAN
MACE WINDU,Mace Windu,MACE-WINDU
COUNT DOOKU,Count Dooku (Darth Tyranus),COUNT-DOOKU
YODA,Yoda,YODA
PALPATINE,Sheev Palpatine,PALPATINE
C-3PO,C-3PO,THREEPIO
LAMA SU,Lama Su,LAMA-SU
JANGO FETT,Jango Fett,JANGO-FETT
JAR JAR,Jar Jar,JAR-JAR
JOCASTA NU,Jocasta Nu,JOCASTA-NU
DEXTER JETTSTER,Dexter Jettster,DEXTER-JETTSTER
TAUN WE,Taun We,TAUN-WE
WATTO,Watto,WATTO
QUEEN JAMILLIA,Queen Jamillia,QUEEN-JAMILLIA
BOBA FETT,Boba Fett,BOBA-FETT
CAPTAIN TYPHO,Captain Typho,CAPTAIN-TYPHO
JOBAL,Jobal Naberrie,
OWEN,Owen Lars,OWEN
RUWEE,Ruwee Naberrie,
SOLA,Sola Naberrie,
CLIEGG,Cliegg Lars,CLIEGG
MAS AMEDDA,Mas Amedda,MAS-AMEDDA
BAIL ORGANA,Bail Organa,BAIL-ORGANA
HERMIONE BAGWA,Hermione Bagwa,HERMIONE-BAGWA
PK-4,PK-4,
POGGLE,Archduke Poggle the Lesser,
SENATOR ASK AAK,Senator Ask Aak,
SIO BIBBLE,Governor Sio Bibble,BIBBLE
ZAM WESELL,Zam Wesell,ZAM-WESELL
ELAN SLEAZEBAGGANO,Elan Sleazebaggano,ELAN-SLEAZEBAGGANO
NUTE GUNRAY,Viceroy Nute Gunray,NUTE
ORN FREE TAA,Senator Orn Free Taa,
SHMI,Shmi Skywalker Lars,SHMI
BERU,Beru Whitesun,BERU
CHILDREN,Younglings,CHILDREN
DARTH SIDIOUS,Darth Sidious,DARTH-SIDIOUS
DORME,Dormé,DORME
KI-ADI-MUNDI,Ki-Adi-Mundi,KI-ADI
POOJA,Pooja Naberrie,
RYOO,Ryoo Naberrie,
SUN RIT,Sun Fac,
AMBASSADOR DARSANA,Ambassador Darsana,
CLONE CAPTAIN,Clone Captain,CLONE
CORDÉ,Cordé,CORDÉ
DAR WAC,Dar Wac,DAR-WAC
DROID CAPTAIN,Droid Captain,
FOOD SERVER,Food Server,
JEDI CHILD JACK,J. K. Burtola,
JEDI CHILD MAY,May,
PLO KOON,Plo Koon,
