doc_id;from;to;text;where;number;nouns;determiners;conjunctions;adjectives;prepositions;pronouns;verbs;adverbs;undefined;time
1;QUI-GON;CAPTAIN;Captain.;INT. REPUBLIC CRUISER - COCKPIT;1;0;0;0;0;0;0;0;0;0;9
2;CAPTAIN;QUI-GON;Yes, sir?;INT. REPUBLIC CRUISER - COCKPIT;2;0;0;0;0;0;0;0;0;0;18
3;QUI-GON;CAPTAIN;Tell them we wish to board at once.;INT. REPUBLIC CRUISER - COCKPIT;8;0;0;0;0;0;0;0;0;0;72
4;CAPTAIN;QUI-GON;Yes, sir.;INT. REPUBLIC CRUISER - COCKPIT;2;0;0;0;0;0;0;0;0;0;18
5;CAPTAIN;NUTE;With all due respect the ambassadors for the supreme chancellor wish to board immediately.;INT. REPUBLIC CRUISER - COCKPIT;14;0;0;0;0;0;0;0;0;0;126
6;NUTE;CAPTAIN;Yes, yes, of course as you know, our blockade is perfectly legal, and we'd be happy to receive the Ambassador. Happy to.;INT. REPUBLIC CRUISER - COCKPIT;22;0;0;0;0;0;0;0;0;0;198
7;TC-14;QUI-GON;I'm TC-14 at your service. This way, please.;INT. FEDERATION BATTLESHIP - DOCKING BAY - SPACE;8;0;0;0;0;0;0;0;0;0;72
8;TC-14;QUI-GON;We are greatly honored by your visit, Ambassadors. Make yourselves comfortable. My master will be with you shortly.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;18;0;0;0;0;0;0;0;0;0;162
9;OBI-WAN;QUI-GON;I have a bad feeling about this.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;7;0;0;0;0;0;0;0;0;0;63
10;QUI-GON;OBI-WAN;I don't sense anything.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;4;0;0;0;0;0;0;0;0;0;36
11;OBI-WAN;QUI-GON;It's not about the mission, Master, it's something, elsewhere, elusive.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;10;0;0;0;0;0;0;0;0;0;90
12;QUI-GON;OBI-WAN;Don't center on your anxiety, Obi-Wan. Keep your concentration here and now where it belongs.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;15;0;0;0;0;0;0;0;0;0;135
13;OBI-WAN;QUI-GON;Master Yoda says I should be mindful of the future;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;10;0;0;0;0;0;0;0;0;0;90
14;QUI-GON;OBI-WAN;but not at the expense of the moment. Be mindful of the living Force, my young Padawan.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;17;0;0;0;0;0;0;0;0;0;153
15;OBI-WAN;QUI-GON;Yes, Master how do you think the trade viceroy will deal with the chancellor's demands?;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;15;0;0;0;0;0;0;0;0;0;135
16;QUI-GON;OBI-WAN;These Federation types are cowards. The negotiations will be short.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;10;0;0;0;0;0;0;0;0;0;90
17;NUTE;TC-14;What?!? What did you say?;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
18;TC-14;NUTE;The Ambassadors are Jedi Knights, I believe.;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
19;DOFINE;NUTE;I knew it! They were sent to force a settlement, eh.;INT. FEDERATION BATTLESHIP - BRIDGE;11;0;0;0;0;0;0;0;0;0;99
20;NUTE;DOFINE;Distract them. I will contact Lord Sidious.;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
21;DOFINE;NUTE;Are you brain-dead? I'm not going in there with two Jedi .Send a droid.;INT. FEDERATION BATTLESHIP - BRIDGE;14;0;0;0;0;0;0;0;0;0;126
22;OBI-WAN;QUI-GON;Is it in their nature to make us wait this long?;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;11;0;0;0;0;0;0;0;0;0;99
23;QUI-GON;OBI-WAN;No. I sense an unusual amount of fear for something as trivial as this trade dispute.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;16;0;0;0;0;0;0;0;0;0;144
24;DARTH SIDIOUS;NUTE;What is it?;INT. FEDERATION BATTLESHIP - BRIDGE;3;0;0;0;0;0;0;0;0;0;27
25;DOFINE;DARTH SIDIOUS;This scheme of yours has failed, Lord Sidious. The blockade is finished. We dare not go against these Jedi.;INT. FEDERATION BATTLESHIP - BRIDGE;19;0;0;0;0;0;0;0;0;0;171
26;DARTH SIDIOUS;NUTE;Viceroy, I don't want this stunted slime in my sight again. This turn of events is unfortunate. We must accelerate our plans. Begin landing your troops.;INT. FEDERATION BATTLESHIP - BRIDGE;26;0;0;0;0;0;0;0;0;0;234
27;NUTE;DARTH SIDIOUS;My lord, is that legal?;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
28;DARTH SIDIOUS;NUTE;I will make it legal.;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
29;NUTE;DARTH SIDIOUS;And the Jedi?;INT. FEDERATION BATTLESHIP - BRIDGE;3;0;0;0;0;0;0;0;0;0;27
30;DARTH SIDIOUS;NUTE;The chancellor should never have brought them into this. Kill them immediately.;INT. FEDERATION BATTLESHIP - BRIDGE;12;0;0;0;0;0;0;0;0;0;108
31;NUTE;DARTH SIDIOUS;Yes, my lord. As you wish.;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
32;PILOT;CAPTAIN;Captain, look!;INT. REPUBLIC CRUISER - COCKPIT;2;0;0;0;0;0;0;0;0;0;18
33;CAPTAIN;QUI-GON;Shields up!;INT. REPUBLIC CRUISER - COCKPIT;2;0;0;0;0;0;0;0;0;0;18
34;TC-14;QUI-GON;Sorry.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;1;0;0;0;0;0;0;0;0;0;9
35;QUI-GON;OBI-WAN;Dioxis.;INT. FEDERATION BATTLESHIP - CONFERENCE ROOM;1;0;0;0;0;0;0;0;0;0;9
36;NUTE;OWO-1;They must be dead by now. Blast, what's left of them.;INT. FEDERATION BATTLESHIP - HALLWAY;11;0;0;0;0;0;0;0;0;0;99
37;TC-14;DROIDS;Oh, excuse me, so sorry.;INT. FEDERATION BATTLESHIP - HALLWAY;5;0;0;0;0;0;0;0;0;0;45
38;OWO-1;CORPORAL;Check it out, Corporal. We'll cover you.;INT. FEDERATION BATTLESHIP - HALLWAY;7;0;0;0;0;0;0;0;0;0;63
39;CORPORAL;OWO-1;Roger, roger.;INT. FEDERATION BATTLESHIP - HALLWAY;2;0;0;0;0;0;0;0;0;0;18
40;OWO-1;CORPORAL;Blast them.;INT. FEDERATION BATTLESHIP - HALLWAY;2;0;0;0;0;0;0;0;0;0;18
41;NUTE;TEY HOW;What in blazes is going on down there?;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
42;TEY HOW;NUTE;We lost the transmission, sir.;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
43;RUNE;NUTE;Have you ever encountered a Jedi Knight before, sir?;INT. FEDERATION BATTLESHIP - BRIDGE;9;0;0;0;0;0;0;0;0;0;81
